lcl|NC_050173.1_cds_XP_035855385.1_1	[gene=LOC116051166]
lcl|NC_050173.1_cds_XP_035855397.1_2	[gene=LOC116051166]
lcl|NC_050173.1_cds_XP_031157277.2_3	[gene=LOC116051167]
lcl|NC_050173.1_cds_XP_035855504.1_4	[gene=LOC118494724]
lcl|NC_050173.1_cds_XP_035862048.1_5	[gene=LOC118496051]
lcl|NC_050173.1_cds_XP_035855614.1_6	[gene=pcdh18b]
lcl|NC_050173.1_cds_XP_035855560.1_7	[gene=pcdh18b]
lcl|NC_050173.1_cds_XP_035855585.1_8	[gene=pcdh18b]
lcl|NC_050173.1_cds_XP_031144171.1_9	[gene=pcdh18b]
lcl|NC_050173.1_cds_XP_031144172.1_10	[gene=slc7a11]
lcl|NC_050173.1_cds_XP_031144178.2_11	[gene=nocta]
lcl|NC_050173.1_cds_XP_035855878.1_12	[gene=nocta]
lcl|NC_050173.1_cds_XP_031144176.1_13	[gene=LOC116042192]
lcl|NC_050173.1_cds_XP_035855926.1_14	[gene=LOC116042192]
lcl|NC_050173.1_cds_XP_035855948.1_15	[gene=LOC116042192]
lcl|NC_050173.1_cds_XP_035856315.1_16	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856288.1_17	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856389.1_18	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856356.1_19	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856435.1_20	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856259.1_21	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856411.1_22	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856328.1_23	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_031144147.2_24	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_035856471.1_25	[gene=si:ch211-235e9.8]
lcl|NC_050173.1_cds_XP_031144168.1_26	[gene=ndufc1]
lcl|NC_050173.1_cds_XP_031144169.1_27	[gene=ndufc1]
lcl|NC_050173.1_cds_XP_031144166.1_28	[gene=LOC116042180]
lcl|NC_050173.1_cds_XP_031144167.1_29	[gene=LOC116042180]
lcl|NC_050173.1_cds_XP_031144175.1_30	[gene=immt]
lcl|NC_050173.1_cds_XP_035856135.1_31	[gene=immt]
lcl|NC_050173.1_cds_XP_031144174.1_32	[gene=immt]
lcl|NC_050173.1_cds_XP_035856077.1_33	[gene=immt]
lcl|NC_050173.1_cds_XP_031144185.1_34	[gene=LOC116042209]
lcl|NC_050173.1_cds_XP_031144184.1_35	[gene=LOC116042209]
lcl|NC_050173.1_cds_XP_031144186.1_36	[gene=LOC116042209]
lcl|NC_050173.1_cds_XP_035856704.1_37	[gene=LOC116042212]
lcl|NC_050173.1_cds_XP_031144146.1_38	[gene=LOC116042153]
lcl|NC_050173.1_cds_XP_031144163.2_39	[gene=ccdc142]
lcl|NC_050173.1_cds_XP_035856775.1_40	[gene=ccdc142]
lcl|NC_050173.1_cds_XP_035856796.1_41	[gene=ccdc142]
lcl|NC_050173.1_cds_XP_035856816.1_42	[gene=ccdc142]
lcl|NC_050173.1_cds_XP_035856841.1_43	[gene=ccdc142]
lcl|NC_050173.1_cds_XP_031144164.1_44	[gene=enpp6]
lcl|NC_050173.1_cds_XP_031144153.1_45	[gene=LOC116042168]
lcl|NC_050173.1_cds_XP_031144155.1_46	[gene=LOC116042168]
lcl|NC_050173.1_cds_XP_031144156.1_47	[gene=LOC116042168]
lcl|NC_050173.1_cds_XP_031144162.1_48	[gene=LOC116042171]
lcl|NC_050173.1_cds_XP_031144157.1_49	[gene=csnk1a1]
lcl|NC_050173.1_cds_XP_031144159.1_50	[gene=csnk1a1]
